#This document should be used as the master list, it reflects the most up to date information.
#In this document, obsids are unique and correspond to a unique directory containing data products in /x-ray
#delimiter = "  "
# CXOname, 	      OBSID,      specObjID, 	    RA, 	DEC, 	Z, 		nH,      Counts
2CXO J122959.5+133105  8066  1818454571626817536  187.49774  13.518277  0.09879434  0.02090000  NO MATCH
2CXO J122815.6+102402  8096  1386133739012122624  187.06609  10.401402  0.13909940  0.02030000  17
2CXO J134922.8+262721  10432  2380175557368244224  207.3432  26.455319  0.06005852  0.01040000  NO MATCH
2CXO J143821.8+034012  7707  659818885914060800  219.59113  3.6703385  0.22496230  0.02660000  118
2CXO J143003.1+340650  17427  1852183740176951296  217.51301  34.114207  0.12637900  0.01110000  NO MATCH
2CXO J143003.1+340650  17429  1852183740176951296  217.51301  34.114207  0.12637900  0.01110000  16
2CXO J143003.1+340650  17430  1852183740176951296  217.51301  34.114207  0.12637900  0.01110000  NO MATCH
2CXO J143003.1+340650  17428  1852183740176951296  217.51301  34.114207  0.12637900  0.01110000  20
2CXO J142044.9+533913  4757  1491828143143544832  215.1871  53.653867  0.11780690  0.00840000  211
2CXO J111703.5+174440  21014  2808098616420362240  169.26491  17.744716  0.09239659  0.01120000  NO MATCH
2CXO J123146.7+475540  3071  1636066756801882112  187.94539  47.92758  0.03072884  0.01110000  19
2CXO J110957.1+020138  8251  574296128732817408  167.4881  2.0273819  0.06339537  0.03520000  20
2CXO J145753.2+222422  7709  2420802797998991360  224.47186  22.406298  0.11000010  0.03270000  52
2CXO J145638.9+222130  7709b  2420780807766435840  224.16308  22.358736  0.12533180  0.03180000  52
2CXO J081013.0+345137  10359  1004318699718469632  122.55423  34.860239  0.08313890  0.04180000  359
2CXO J094124.0+394442  9308  1368114942456129536  145.35009  39.744963  0.10774740  0.01340000  209
2CXO J112026.6+431519  18214  1535728074044237824  170.11104  43.25514  0.14609400  0.02510000  NO MATCH
2CXO J090105.2+290146  9307  2177600977073367040  135.2719  29.029701  0.19439040  0.02590000  112
2CXO J114409.3+462238  3369  1625813535491647488  176.03939  46.377123  0.11367310  0.02580000  25
2CXO J114338.4+462403  3369b  1625825630119553024  175.91005  46.400886  0.11588670  0.02640000  25
2CXO J233314.7+000109  8605  432473962761447424  353.31154  0.01931765  0.18747690  0.03930000  19
2CXO J082336.9+280425  13012  1426622433544136704  125.90431  28.073758  0.34538460  0.02950000  NO MATCH
2CXO J083130.4+524502  1643  499954565811038208  127.87683  52.750722  0.14073510  0.04250000  NO MATCH
2CXO J233752.7+002421  3248  433577598497351680  354.46973  0.40597125  0.08972833  0.03690000  38
2CXO J233731.7+002600  3248b  767999293637289984  354.38245  0.43322609  0.31412070  0.03670000  38
2CXO J115628.1+550730  4845  1146264831163131904  179.11719  55.125236  0.00394588  0.01000000  133
2CXO J100936.4+560311  12765  1065164024418691072  152.40177  56.05307  0.16675860  0.00749000  212
2CXO J124104.7+441922  10729  1544751491112265728  190.26939  44.322999  0.14746370  0.01660000  78
2CXO J100551.1+125740  13972  1963729742607706112  151.4633  12.961302  0.00964246  0.03300000  64
2CXO J142916.8+335641  6997  2072870022874687488  217.31999  33.944822  0.13050250  0.01080000  NO MATCH
2CXO J142916.8+335641  6998  2072870022874687488  217.31999  33.944822  0.13050250  0.01080000  NO MATCH
2CXO J143003.1+340650  6998b  1852183740176951296  217.51301  34.114207  0.12637900  0.01110000  NO MATCH
2CXO J122847.2+135328  2927  1990670257882163200  187.19662  13.891073  0.15296960  0.02890000  NO MATCH
2CXO J111816.6+074323  1630  1820707470046160896  169.56912  7.723292  0.22561070  0.03200000  NO MATCH
2CXO J081458.3+365325  3436  1004457787939383296  123.74274  36.890454  0.10906110  0.04680000  24
2CXO J104429.3+113810  13765  1802684275493988352  161.12194  11.636486  0.22977630  0.02280000  NO MATCH
2CXO J145753.2+222422  543  2420802797998991360  224.47186  22.406298  0.11000010  0.03270000  NO MATCH
