#This document should be used as the master list, it reflects the most up to date information.
#In this document, obsids are unique and correspond to a unique directory containing data products in /x-ray
#delimiter = "  "
# CXOname, 	      OBSID,      specObjID, 	    RA, 	DEC, 	Z, 		nH,      Counts
2CXO J095759.4+022810  15243b  563082752904161280  149.49774  2.4695767  0.11974470  0.01830000  NO MATCH
2CXO J150117.0+014958  5907  606979655517366272  225.32127  1.8328286  0.12925260  0.04170000  NO MATCH
2CXO J095759.4+022810  15241  563082752904161280  149.49774  2.4695767  0.11974470  0.01830000  NO MATCH
2CXO J121807.1+295611  16628  2513071328441952256  184.52984  29.936433  0.15171910  0.01790000  NO MATCH
2CXO J095933.2+012907  15246  562991218561148928  149.88759  1.4844867  0.22719180  0.01850000  NO MATCH
2CXO J123612.8+285858  5588  2518719244812707840  189.05364  28.983016  0.22500770  0.01520000  NO MATCH
2CXO J122442.1+125112  22174  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J095814.9+021817  15242  563087150950672384  149.56234  2.3050674  0.12420490  0.01780000  NO MATCH
2CXO J095759.4+022810  15242b  563082752904161280  149.49774  2.4695767  0.11974470  0.01830000  NO MATCH
2CXO J100129.4+013633  15226  562968678572779520  150.37261  1.6093641  0.10439600  0.01880000  630
2CXO J095759.4+022810  15259  563082752904161280  149.49774  2.4695767  0.11974470  0.01830000  NO MATCH
2CXO J095933.2+012907  15247  562991218561148928  149.88759  1.4844867  0.22719180  0.01850000  NO MATCH
2CXO J100129.4+013633  15225  562968678572779520  150.37261  1.6093641  0.10439600  0.01880000  466
2CXO J143217.7+343748  9896  1852157351897884672  218.07384  34.629969  0.37402710  0.01090000  151
2CXO J112314.9+431208  4961  1536886134682970112  170.81206  43.202443  0.08044241  0.02670000  148
2CXO J122442.1+125112  22176  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  31
2CXO J142829.1+005050  14006  344614460289214464  217.12141  0.8474862  0.12599600  0.02680000  29
2CXO J122442.1+125112  20543  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  109
2CXO J152424.9+295931  4965  1858905334165301248  231.10396  29.991984  0.11719720  0.01810000  338
2CXO J153457.1+233012  869  2435337505558521856  233.73836  23.503684  0.01852545  0.03940000  1122
2CXO J143821.8+034012  3290  659818885914060800  219.59113  3.6703385  0.22496230  0.02660000  1320
2CXO J122959.5+133105  11736  1818454571626817536  187.49774  13.518277  0.09879434  0.02090000  739
2CXO J120153.5+580340  4975  1479539177061115904  180.47318  58.061222  0.09913486  0.01510000  NO MATCH
2CXO J142551.3+353404  3482  1851122161230571520  216.46411  35.567819  0.18693180  0.01340000  NO MATCH
2CXO J123614.3+255022  3950  2993927356944508928  189.05943  25.8401  0.17651130  0.01130000  87
2CXO J134922.8+262721  17612  2380175557368244224  207.3432  26.455319  0.06005852  0.01040000  NO MATCH
2CXO J121807.1+295611  16310  2513071328441952256  184.52984  29.936433  0.15171910  0.01790000  NO MATCH
2CXO J084122.9+322835  7917  1361350196310599680  130.34562  32.476336  0.06685156  0.03020000  170
2CXO J084102.6+321447  7917b  1361261685624563712  130.2608  32.246663  0.10564220  0.03360000  170
2CXO J100713.2+124712  16034  1963731666753054720  151.80525  12.786994  0.24846660  0.03460000  72
2CXO J141653.6+530915  3239  1493030184264165376  214.22337  53.154332  0.11273620  0.00953000  NO MATCH
2CXO J153457.1+233012  16093  2435337505558521856  233.73836  23.503684  0.01852545  0.03940000  885
2CXO J104731.6+584936  5025  1068583231038711808  161.88194  58.826756  0.30460820  0.00832000  64
2CXO J104643.2+584715  5025b  1068570586654992384  161.6803  58.787542  0.14035060  0.00813000  64
2CXO J221741.6+000907  8036  422310357504124928  334.42341  0.15208873  0.04541473  0.04090000  NO MATCH
2CXO J112041.6+232751  1660  2811452401427441664  170.17385  23.464432  0.14653680  0.00916000  NO MATCH
2CXO J104408.6+064238  14926  1125918093126690816  161.0361  6.7106419  0.05329074  0.02730000  NO MATCH
2CXO J150117.0+014958  12951  606979655517366272  225.32127  1.8328286  0.12925260  0.04170000  NO MATCH
2CXO J221741.6+000907  1694  422310357504124928  334.42341  0.15208873  0.04541473  0.04090000  NO MATCH
2CXO J141631.9+231906  16125  2395971965241288704  214.13328  23.318561  0.13645030  0.01940000  NO MATCH
2CXO J083130.4+524502  7684  499954565811038208  127.87683  52.750722  0.14073510  0.04250000  191
2CXO J083130.4+524502  2979  499954565811038208  127.87683  52.750722  0.14073510  0.04250000  NO MATCH
2CXO J121807.1+295611  1597  2513071328441952256  184.52984  29.936433  0.15171910  0.01790000  NO MATCH
2CXO J145753.2+222422  4192  2420802797998991360  224.47186  22.406298  0.11000010  0.03270000  NO MATCH
2CXO J145638.9+222130  4192b  2420780807766435840  224.16308  22.358736  0.12533180  0.03180000  NO MATCH
2CXO J221741.6+000907  8035  422310357504124928  334.42341  0.15208873  0.04541473  0.04090000  NO MATCH
2CXO J125412.0+273733  16600  2523226698233702400  193.55005  27.626096  0.08602050  0.00990000  677
2CXO J150117.0+014958  9517  606979655517366272  225.32127  1.8328286  0.12925260  0.04170000  NO MATCH
2CXO J221741.6+000907  8034  422310357504124928  334.42341  0.15208873  0.04541473  0.04090000  NO MATCH
2CXO J221741.6+000907  9717  422310357504124928  334.42341  0.15208873  0.04541473  0.04090000  126
2CXO J150117.0+014958  13253  606979655517366272  225.32127  1.8328286  0.12925260  0.04170000  NO MATCH
2CXO J142551.3+353404  3130  1851122161230571520  216.46411  35.567819  0.18693180  0.01340000  50
2CXO J121807.1+295611  16311  2513071328441952256  184.52984  29.936433  0.15171910  0.01790000  NO MATCH
2CXO J150117.0+014958  12952  606979655517366272  225.32127  1.8328286  0.12925260  0.04170000  104
2CXO J153457.1+233012  16092  2435337505558521856  233.73836  23.503684  0.01852545  0.03940000  2504
2CXO J123612.8+285858  17174  2518719244812707840  189.05364  28.983016  0.22500770  0.01520000  NO MATCH
